MONTH,BOROUGH,COMMUNITY DISTRICT,LOCATION TYPE,ORGANIC TONS,BOROUGH_ID
2025 / 12,Queens,4,Residential,159.6,4
2025 / 12,Queens,5,Residential,317.4,4
2025 / 12,,5,School,111.3,
2025 / 12,Queens,6,Residential,205.4,4
2025 / 12,,6,School,4.7,
2025 / 12,Queens,7,Residential,265.4,4
2025 / 12,Queens,8,Residential,249,4
2025 / 12,Queens,9,Residential,268.6,4
2025 / 12,,9,School,111.1,
2025 / 12,Queens,10,Residential,168,4
2025 / 12,,10,School,78.4,
2025 / 12,Queens,11,Residential,379.8,4
2025 / 12,,11,School,86.3,
2025 / 12,Queens,12,Residential,413.5,4
2025 / 12,,12,School,75.5,
2025 / 12,Queens,13,Residential,244.5,4
2025 / 12,,13,School,64.7,
2025 / 12,Queens,14,Residential,98.7,4
2025 / 11,Queens,1,Residential,296.8,4
2025 / 11,,1,School,122.1,
2025 / 11,Queens,2,Residential,221.9,4
2025 / 11,,2,School,167.8,
2025 / 11,Queens,3,Residential,231.5,4
2025 / 11,Queens,4,Residential,168.8,4
2025 / 11,Queens,5,Residential,443.8,4
2025 / 11,,5,School,105.3,
2025 / 11,Queens,6,Residential,305.5,4
2025 / 11,Queens,7,Residential,431.3,4
2025 / 11,,7,School,97.3,
2025 / 11,Queens,8,Residential,320.6,4
2025 / 11,Queens,9,Residential,386.2,4
2025 / 11,,9,School,114.8,
2025 / 11,Queens,10,Residential,225.3,4
2025 / 11,,10,School,70.7,
2025 / 11,Queens,11,Residential,612.4,4
2025 / 11,,11,School,82.9,
2025 / 11,Queens,12,Residential,615.2,4
2025 / 11,,12,School,72.4,
2025 / 11,Queens,13,Residential,345.4,4
2025 / 11,,13,School,68.3,
2025 / 11,Queens,14,Residential,111.6,4
2025 / 10,Queens,1,Residential,247.9,4
2025 / 10,,1,School,145.3,
2025 / 10,Queens,2,Residential,211.7,4
2025 / 10,,2,School,205.4,
2025 / 10,Queens,3,Residential,220,4
2025 / 10,Queens,4,Residential,176.4,4
2025 / 10,Queens,5,Residential,364.9,4
2025 / 10,,5,School,131.2,
2025 / 10,Queens,6,Residential,210,4
2025 / 10,Queens,7,Residential,307.5,4
2025 / 10,,7,School,114.1,
2025 / 10,Queens,8,Residential,218.8,4
2025 / 10,Queens,9,Residential,304.9,4
2025 / 10,,9,School,138.5,
2025 / 10,Queens,10,Residential,184.2,4
2025 / 10,,10,School,97.8,
2025 / 10,Queens,11,Residential,377.9,4
2025 / 10,,11,School,101.1,
2025 / 10,Queens,12,Residential,461.1,4
2025 / 10,Queens,13,Residential,244.4,4
2025 / 10,,13,School,79.6,
2025 / 10,Queens,14,Residential,110.3,4
2025 / 09,Queens,1,Residential,221.3,4
2025 / 09,,1,School,121.6,
2025 / 09,Queens,2,Residential,189.4,4
2025 / 09,,2,School,168.3,
2025 / 09,Queens,3,Residential,173,4
2025 / 09,Queens,4,Residential,164.6,4
2025 / 09,Queens,5,Residential,346.4,4
2025 / 09,,5,School,112.9,
2025 / 09,Queens,6,Residential,197.8,4
2025 / 09,Queens,7,Residential,288.1,4
2025 / 09,,7,School,95.7,
2025 / 09,Queens,8,Residential,202.9,4
2025 / 09,Queens,9,Residential,263.3,4
2025 / 09,,9,School,104.8,
2025 / 09,Queens,10,Residential,161.8,4
2025 / 09,,10,School,79.5,
2025 / 09,Queens,11,Residential,357.3,4
2025 / 09,,11,School,83.2,
2025 / 09,Queens,12,Residential,434,4
2025 / 09,,12,School,75.7,
2025 / 09,Queens,13,Residential,235.2,4
2025 / 09,,13,School,69.6,
2025 / 09,Queens,14,Residential,102.4,4
2025 / 08,Queens,1,Residential,235.6,4
2025 / 08,,1,School,23.3,
2025 / 08,Queens,2,Residential,187.3,4
2025 / 08,Queens,3,Residential,191.3,4
2025 / 08,Queens,4,Residential,174.4,4
2025 / 08,Queens,5,Residential,350.9,4
2025 / 08,,5,School,54.6,
2025 / 08,Queens,6,Residential,202.1,4
2025 / 08,Queens,7,Residential,304.6,4
2025 / 08,,7,School,23.6,
2025 / 08,Queens,8,Residential,201.2,4
2025 / 08,Queens,9,Residential,266.4,4
2025 / 08,Queens,10,Residential,197.8,4
2025 / 08,,10,School,21.3,
2025 / 08,Queens,11,Residential,360.8,4
2025 / 08,Queens,12,Residential,421.4,4
2025 / 08,,12,School,20.1,
2025 / 08,Queens,13,Residential,256.6,4
2025 / 08,Queens,14,Residential,118.2,4
2025 / 07,Queens,1,Residential,279,
2025 / 07,,1,School,54.2,
2025 / 07,Queens,2,Residential,204.4,
2025 / 07,Queens,3,Residential,206.1,
2025 / 07,Queens,4,Residential,183.8,
2025 / 07,Queens,5,Residential,416.1,
2025 / 07,,5,School,97.5,
2025 / 07,Queens,6,Residential,206.4,
2025 / 07,Queens,7,Residential,356.1,
2025 / 07,,7,School,50.3,
2025 / 07,Queens,8,Residential,225.3,
2025 / 07,Queens,9,Residential,293.3,
2025 / 07,Queens,10,Residential,230.4,
