MONTH,BOROUGH,COMMUNITY DISTRICT,LOCATION TYPE,ORGANIC TONS,BOROUGH_ID
2023 / 10,Queens,8,Residential,76.4,4
2023 / 10,Queens,9,Residential,147.5,4
2023 / 10,,9,School,146.3,
2023 / 10,Queens,10,Residential,61.7,4
2023 / 10,Queens,11,Residential,134.3,4
2023 / 10,,11,School,100.4,
2023 / 10,Queens,12,Residential,246.2,4
2023 / 10,Queens,13,Residential,121,4
2023 / 10,Queens,14,Residential,61.3,4
2023 / 09,Queens,1,Residential,83.5,4
2023 / 09,Queens,2,Residential,27.9,4
2023 / 09,,2,School,178.1,
2023 / 09,Queens,3,Residential,33,4
2023 / 09,Queens,4,Residential,23.8,4
2023 / 09,Queens,5,Residential,81.8,4
2023 / 09,Queens,6,Residential,47.6,4
2023 / 09,Queens,7,Residential,101.9,4
2023 / 09,Queens,8,Residential,57,4
2023 / 09,Queens,9,Residential,113.4,4
2023 / 09,,9,School,92.6,
2023 / 09,Queens,10,Residential,45.7,4
2023 / 09,Queens,11,Residential,93,4
2023 / 09,,11,School,70.5,
2023 / 09,Queens,12,Residential,241.7,4
2023 / 09,Queens,13,Residential,120.7,4
2023 / 09,Queens,14,Residential,71.7,4
2023 / 08,Queens,1,Residential,93.4,4
2023 / 08,Queens,2,Residential,34.5,4
2023 / 08,Queens,3,Residential,35.6,4
2023 / 08,Queens,4,Residential,25.4,4
2023 / 08,Queens,5,Residential,101.1,4
2023 / 08,Queens,6,Residential,53.7,4
2023 / 08,Queens,7,Residential,122.2,4
2023 / 08,Queens,8,Residential,60.9,4
2023 / 08,Queens,9,Residential,135.2,4
2023 / 08,Queens,10,Residential,65.1,4
2023 / 08,Queens,11,Residential,106.6,4
2023 / 08,Queens,12,Residential,244.6,4
2023 / 08,Queens,13,Residential,153,4
2023 / 08,Queens,14,Residential,69.8,4
2023 / 07,Queens,1,Residential,90.3,4
2023 / 07,Queens,2,Residential,34.8,4
2023 / 07,Queens,3,Residential,33.3,4
2023 / 07,Queens,4,Residential,24.2,4
2023 / 07,Queens,5,Residential,92.8,4
2023 / 07,Queens,6,Residential,49.7,4
2023 / 07,Queens,7,Residential,101.5,4
2023 / 07,Queens,8,Residential,60.5,4
2023 / 07,Queens,9,Residential,142.5,4
2023 / 07,Queens,10,Residential,63,4
2023 / 07,Queens,11,Residential,102.6,4
2023 / 07,Queens,12,Residential,250.8,4
2023 / 07,Queens,13,Residential,158.9,4
2023 / 07,Queens,14,Residential,74.7,4
2023 / 06,Queens,1,Residential,84.5,4
2023 / 06,Queens,2,Residential,37.8,4
2023 / 06,,2,School,203.7,
2023 / 06,Queens,3,Residential,37.7,4
2023 / 06,Queens,4,Residential,27.8,4
2023 / 06,Queens,5,Residential,88.6,4
2023 / 06,,5,School,123.3,
2023 / 06,Queens,6,Residential,56.5,4
2023 / 06,Queens,7,Residential,111.9,4
2023 / 06,Queens,8,Residential,68.2,4
2023 / 06,Queens,9,Residential,133.5,4
2023 / 06,,9,School,98.4,
2023 / 06,Queens,10,Residential,66.3,4
2023 / 06,Queens,11,Residential,109.8,4
2023 / 06,,11,School,61.7,
2023 / 06,Queens,12,Residential,271.6,4
2023 / 06,Queens,13,Residential,167.8,4
2023 / 06,Queens,14,Residential,77.3,4
2023 / 05,Queens,1,Residential,93.7,4
2023 / 05,Queens,2,Residential,36.3,4
2023 / 05,,2,School,243.7,
2023 / 05,Queens,3,Residential,34.9,4
2023 / 05,Queens,4,Residential,23.3,4
2023 / 05,Queens,5,Residential,105.2,4
2023 / 05,,5,School,153.1,
2023 / 05,Queens,6,Residential,54,4
2023 / 05,Queens,7,Residential,139.3,4
2023 / 05,Queens,8,Residential,75.4,4
2023 / 05,Queens,9,Residential,143,4
2023 / 05,,9,School,144.5,
2023 / 05,Queens,10,Residential,71.1,4
2023 / 05,Queens,11,Residential,138.2,4
2023 / 05,,11,School,86.7,
2023 / 05,Queens,12,Residential,285.4,4
2023 / 05,Queens,13,Residential,185.1,4
2023 / 05,Queens,14,Residential,75.3,4
2023 / 04,Queens,1,Residential,76.5,4
2023 / 04,Queens,2,Residential,33.4,4
2023 / 04,,2,School,143.2,
2023 / 04,Queens,3,Residential,29.1,4
2023 / 04,Queens,4,Residential,20.3,4
2023 / 04,Queens,5,Residential,95.5,4
2023 / 04,,5,School,98.2,
2023 / 04,Queens,6,Residential,50,4
2023 / 04,Queens,7,Residential,117.2,4
2023 / 04,Queens,8,Residential,78.5,4
2023 / 04,Queens,9,Residential,106,4
2023 / 04,,9,School,88,
2023 / 04,Queens,10,Residential,54.9,4
2023 / 04,Queens,11,Residential,136.3,4
2023 / 04,,11,School,47.3,
2023 / 04,Queens,12,Residential,207.9,4
2023 / 04,Queens,13,Residential,151.4,4
2023 / 04,Queens,14,Residential,65.5,4
2023 / 03,Queens,1,Residential,14.3,4
2023 / 03,Queens,2,Residential,4.2,4
2023 / 03,,2,School,236.5,
2023 / 03,Queens,3,Residential,4.9,4
2023 / 03,Queens,4,Residential,5,4
2023 / 03,Queens,5,Residential,15.7,4
2023 / 03,,5,School,168,
2023 / 03,Queens,6,Residential,7.6,4
2023 / 03,Queens,7,Residential,23.4,4
2023 / 03,Queens,8,Residential,14.4,4
2023 / 03,Queens,9,Residential,16.3,4
2023 / 03,,9,School,140.2,
2023 / 03,Queens,10,Residential,6.7,4
2023 / 03,Queens,11,Residential,25.3,4
2023 / 03,,11,School,84.9,
2023 / 03,Queens,12,Residential,19.7,4
2023 / 03,Queens,13,Residential,21.1,4
2023 / 03,Queens,14,Residential,7.8,4
2023 / 02,Queens,2,School,155,4
2023 / 02,Queens,5,School,116.4,4
2023 / 02,Queens,9,School,93.8,4
2023 / 02,Queens,11,School,55.8,4
2023 / 01,Queens,2,School,201.6,4
2023 / 01,Queens,5,School,139.8,4
2023 / 01,Queens,9,School,128.8,4
2023 / 01,Queens,11,School,72,4
2022 / 12,Queens,1,Residential,104.3,4
2022 / 12,Queens,2,Residential,38.9,4
2022 / 12,,2,School,184.3,
2022 / 12,Queens,3,Residential,37.9,4
2022 / 12,Queens,4,Residential,25.9,4
2022 / 12,Queens,5,Residential,106.4,4
2022 / 12,,5,School,133,
2022 / 12,Queens,6,Residential,103.3,4
2022 / 12,Queens,7,Residential,146.9,4
2022 / 12,Queens,8,Residential,143,4
2022 / 12,Queens,9,Residential,137.7,4
2022 / 12,,9,School,122,
2022 / 12,Queens,10,Residential,127.1,4
2022 / 12,Queens,11,Residential,175.5,4
2022 / 12,,11,School,67.3,
2022 / 12,Queens,12,Residential,354.9,4
2022 / 12,Queens,13,Residential,204.6,4
2022 / 12,Queens,14,Residential,79.7,4
2022 / 11,Queens,1,Residential,140.8,4
2022 / 11,Queens,2,Residential,55.5,4
2022 / 11,,2,School,191.7,
2022 / 11,Queens,3,Residential,68.8,4
2022 / 11,Queens,4,Residential,51.8,4
2022 / 11,Queens,5,Residential,216.7,4
2022 / 11,,5,School,135.5,
2022 / 11,Queens,6,Residential,165.8,4
2022 / 11,Queens,7,Residential,381.2,4
2022 / 11,Queens,8,Residential,216.1,4
2022 / 11,Queens,9,Residential,276.7,4
2022 / 11,,9,School,126.5,
2022 / 11,Queens,10,Residential,219.4,4
2022 / 11,Queens,11,Residential,418.1,4
2022 / 11,,11,School,75.4,
2022 / 11,Queens,12,Residential,544.3,4
2022 / 11,Queens,13,Residential,329.9,4
2022 / 11,Queens,14,Residential,127.1,4
2022 / 10,Queens,1,Residential,56.7,4
2022 / 10,Queens,2,Residential,29.6,4
2022 / 10,,2,School,226.5,
2022 / 10,Queens,3,Residential,33,4
2022 / 10,Queens,4,Residential,26.7,4
2022 / 10,Queens,5,Residential,104.4,4
2022 / 10,,5,School,140,
2022 / 10,Queens,6,Residential,64.3,4
2022 / 10,Queens,7,Residential,181,4
2022 / 10,Queens,8,Residential,90.2,4
2022 / 10,Queens,9,Residential,118.3,4
2022 / 10,,9,School,128.1,
2022 / 10,Queens,10,Residential,98.8,4
2022 / 10,Queens,11,Residential,131.1,4
2022 / 10,,11,School,68,
2022 / 10,Queens,12,Residential,219.9,4
2022 / 10,Queens,13,Residential,173.2,4
2022 / 10,Queens,14,Residential,70.6,4
2022 / 09,Queens,2,Residential,133.5,4
2022 / 09,Queens,5,Residential,92.9,4
2022 / 09,Queens,9,Residential,62.9,4
2022 / 09,Queens,11,Residential,57.2,4
2022 / 06,Queens,2,Residential,229.6,4
2022 / 06,Queens,5,Residential,134.9,4
2022 / 06,Queens,9,Residential,121.5,4
2022 / 06,Queens,11,Residential,74.7,4
2022 / 05,Queens,2,Residential,213.3,4
2022 / 05,Queens,5,Residential,136.1,4
2022 / 05,Queens,9,Residential,138.9,4
2022 / 05,Queens,11,Residential,79.2,4
2022 / 04,Queens,2,Residential,144.7,4
2022 / 04,Queens,5,Residential,107.4,4
2022 / 04,Queens,9,Residential,108.5,4
2022 / 04,Queens,11,Residential,54.8,4
2022 / 03,Queens,2,Residential,197.8,4
2022 / 03,Queens,5,Residential,153.6,4
2022 / 03,Queens,9,Residential,158.7,4
2022 / 03,Queens,11,Residential,96.1,4
2022 / 02,Queens,2,Residential,63.7,4
2022 / 02,Queens,5,Residential,47.6,4
2022 / 02,Queens,9,Residential,64.3,4
2022 / 02,Queens,11,Residential,58.4,4
2022 / 01,Queens,2,Residential,79.1,4
2022 / 01,Queens,5,Residential,47.2,4
2022 / 01,Queens,9,Residential,59.4,4
2022 / 01,Queens,11,Residential,63.7,4
2021 / 12,Queens,2,Residential,46.8,4
2021 / 12,Queens,5,Residential,31.7,4
2021 / 12,Queens,9,Residential,47.8,4
2021 / 12,Queens,11,Residential,42.8,4
2021 / 10,Queens,2,Residential,63.6,4
2021 / 10,Queens,5,Residential,45.9,4
2021 / 10,Queens,9,Residential,46.7,4
2021 / 10,Queens,11,Residential,64.8,4
2021 / 09,Queens,2,Residential,36.7,4
2021 / 09,Queens,5,Residential,27.1,4
2021 / 09,Queens,9,Residential,20,4
2021 / 09,Queens,11,Residential,27.8,4
2020 / 05,Queens,2,Residential,5.4,4
2020 / 05,Queens,5,Residential,8.4,4
2020 / 05,Queens,7,Residential,9.5,4
2020 / 05,Queens,8,Residential,3.3,4
2020 / 05,Queens,9,Residential,11.4,4
2020 / 05,Queens,10,Residential,4,4
2020 / 05,Queens,11,Residential,8.9,4
2020 / 05,Queens,13,Residential,19.3,4
2020 / 05,Queens,14,Residential,8.4,4
2020 / 04,Queens,2,Residential,77.3,4
2020 / 04,Queens,5,Residential,121.6,4
2020 / 04,Queens,7,Residential,113.2,4
2020 / 04,Queens,8,Residential,71.7,4
2020 / 04,Queens,9,Residential,153.9,4
2020 / 04,Queens,10,Residential,57.6,4
2020 / 04,Queens,11,Residential,126.8,4
2020 / 04,Queens,13,Residential,196.5,4
2020 / 04,Queens,14,Residential,71.3,4
2020 / 03,Queens,2,Residential,76.6,4
2020 / 03,,2,School,36,
2020 / 03,Queens,5,Residential,115.6,4
2020 / 03,,5,School,40.8,
2020 / 03,Queens,6,Residential,,4
2020 / 03,,6,School,41.8,
2020 / 03,Queens,7,Residential,104.6,4
2020 / 03,Queens,8,Residential,102.9,4
2020 / 03,Queens,9,Residential,158.2,4
2020 / 03,,9,School,21.6,
2020 / 03,Queens,10,Residential,54.6,4
2020 / 03,Queens,11,Residential,137.6,4
2020 / 03,,11,School,38.7,
2020 / 03,Queens,13,Residential,160.3,4
2020 / 03,Queens,14,Residential,69.5,4
2020 / 02,Queens,2,Residential,59.7,4
2020 / 02,,2,School,53.1,
2020 / 02,Queens,5,Residential,103.3,4
2020 / 02,,5,School,55.7,
2020 / 02,Queens,6,Residential,,4
2020 / 02,,6,School,59.7,
2020 / 02,Queens,7,Residential,91.2,4
2020 / 02,Queens,8,Residential,84.9,4
2020 / 02,Queens,9,Residential,122.5,4
2020 / 02,,9,School,30.8,
2020 / 02,Queens,10,Residential,55.1,4
2020 / 02,Queens,11,Residential,98.6,4
2020 / 02,,11,School,61.6,
2020 / 02,Queens,13,Residential,127.2,4
2020 / 02,Queens,14,Residential,49.8,4
2020 / 01,Queens,2,Residential,75,4
2020 / 01,,2,School,66.8,
2020 / 01,Queens,5,Residential,,4
2020 / 01,,5,School,68.6,
2020 / 01,Queens,6,Residential,,4
2020 / 01,,6,School,80.3,
2020 / 01,Queens,7,Residential,109.9,4
2020 / 01,Queens,8,Residential,104.5,4
2020 / 01,Queens,9,Residential,164.1,4
2020 / 01,,9,School,40,
2020 / 01,Queens,10,Residential,56.1,4
2020 / 01,Queens,11,Residential,120.5,4
2020 / 01,,11,School,82.1,
2020 / 01,Queens,13,Residential,172.6,4
2020 / 01,Queens,14,Residential,58.9,4
