MONTH,BOROUGH,COMMUNITYDISTRICT,RESORGANICSTONS,SCHOOLORGANICTONS,BOROUGH_ID
2023 / 11,Queens,4,33.8,,4
2023 / 11,Queens,5,151.8,119.5,4
2023 / 11,Queens,6,139.9,,4
2023 / 11,Queens,7,190.7,,4
2023 / 11,Queens,8,110.2,,4
2023 / 11,Queens,9,197.5,124.4,4
2023 / 11,Queens,10,98.3,,4
2023 / 11,Queens,11,222.6,79.9,4
2023 / 11,Queens,12,412.2,,4
2023 / 11,Queens,13,170.6,,4
2023 / 11,Queens,14,67,,4
2023 / 10,Queens,1,88.7,,4
2023 / 10,Queens,2,38.1,231,4
2023 / 10,Queens,3,34.4,,4
2023 / 10,Queens,4,25,,4
2023 / 10,Queens,5,101.1,133.4,4
2023 / 10,Queens,6,66.3,,4
2023 / 10,Queens,7,124.8,,4
2023 / 10,Queens,8,76.4,,4
2023 / 10,Queens,9,147.5,146.3,4
2023 / 10,Queens,10,61.7,,4
2023 / 10,Queens,11,134.3,100.4,4
2023 / 10,Queens,12,246.2,,4
2023 / 10,Queens,13,121,,4
2023 / 10,Queens,14,61.3,,4
2023 / 09,Queens,1,83.5,,4
2023 / 09,Queens,2,27.9,178.1,4
2023 / 09,Queens,3,33,,4
2023 / 09,Queens,4,23.8,,4
2023 / 09,Queens,5,81.8,95.3,4
2023 / 09,Queens,6,47.6,,4
2023 / 09,Queens,7,101.9,,4
2023 / 09,Queens,8,57,,4
2023 / 09,Queens,9,113.4,92.6,4
2023 / 09,Queens,10,45.7,,4
2023 / 09,Queens,11,93,70.5,4
2023 / 09,Queens,12,241.7,,4
2023 / 09,Queens,13,120.7,,4
2023 / 09,Queens,14,71.7,,4
2023 / 08,Queens,1,93.4,,4
2023 / 08,Queens,2,34.5,,4
2023 / 08,Queens,3,35.6,,4
2023 / 08,Queens,4,25.4,,4
2023 / 08,Queens,5,101.1,,4
2023 / 08,Queens,6,53.7,,4
2023 / 08,Queens,7,122.2,,4
2023 / 08,Queens,8,60.9,,4
2023 / 08,Queens,9,135.2,,4
2023 / 08,Queens,10,65.1,,4
2023 / 08,Queens,11,106.6,,4
2023 / 08,Queens,12,244.6,,4
2023 / 08,Queens,13,153,,4
2023 / 08,Queens,14,69.8,,4
2023 / 07,Queens,1,90.3,,4
2023 / 07,Queens,2,34.8,,4
2023 / 07,Queens,3,33.3,,4
2023 / 07,Queens,4,24.2,,4
2023 / 07,Queens,5,92.8,,4
2023 / 07,Queens,6,49.7,,4
2023 / 07,Queens,7,101.5,,4
2023 / 07,Queens,8,60.5,,4
2023 / 07,Queens,9,142.5,,4
2023 / 07,Queens,10,63,,4
2023 / 07,Queens,11,102.6,,4
2023 / 07,Queens,12,250.8,,4
2023 / 07,Queens,13,158.9,,4
2023 / 07,Queens,14,74.7,,4
2023 / 06,Queens,1,84.5,,4
2023 / 06,Queens,2,37.8,203.7,4
2023 / 06,Queens,3,37.7,,4
2023 / 06,Queens,4,27.8,,4
2023 / 06,Queens,5,88.6,123.3,4
2023 / 06,Queens,6,56.5,,4
2023 / 06,Queens,7,111.9,,4
2023 / 06,Queens,8,68.2,,4
2023 / 06,Queens,9,133.5,98.4,4
2023 / 06,Queens,10,66.3,,4
2023 / 06,Queens,11,109.8,61.7,4
2023 / 06,Queens,12,271.6,,4
2023 / 06,Queens,13,167.8,,4
2023 / 06,Queens,14,77.3,,4
2023 / 05,Queens,1,93.7,,4
2023 / 05,Queens,2,36.3,243.7,4
2023 / 05,Queens,3,34.9,,4
2023 / 05,Queens,4,23.3,,4
2023 / 05,Queens,5,105.2,153.1,4
2023 / 05,Queens,6,54,,4
2023 / 05,Queens,7,139.3,,4
2023 / 05,Queens,8,75.4,,4
2023 / 05,Queens,9,143,144.5,4
2023 / 05,Queens,10,71.1,,4
2023 / 05,Queens,11,138.2,86.7,4
2023 / 05,Queens,12,285.4,,4
2023 / 05,Queens,13,185.1,,4
2023 / 05,Queens,14,75.3,,4
2023 / 04,Queens,1,76.5,,4
2023 / 04,Queens,2,33.4,143.2,4
2023 / 04,Queens,3,29.1,,4
2023 / 04,Queens,4,20.3,,4
2023 / 04,Queens,5,95.5,98.2,4
2023 / 04,Queens,6,50,,4
2023 / 04,Queens,7,117.2,,4
2023 / 04,Queens,8,78.5,,4
2023 / 04,Queens,9,106,88,4
2023 / 04,Queens,10,54.9,,4
2023 / 04,Queens,11,136.3,47.3,4
2023 / 04,Queens,12,207.9,,4
2023 / 04,Queens,13,151.4,,4
2023 / 04,Queens,14,65.5,,4
2023 / 03,Queens,1,14.3,,4
2023 / 03,Queens,2,4.2,236.5,4
2023 / 03,Queens,3,4.9,,4
2023 / 03,Queens,4,5,,4
2023 / 03,Queens,5,15.7,168,4
2023 / 03,Queens,6,7.6,,4
2023 / 03,Queens,7,23.4,,4
2023 / 03,Queens,8,14.4,,4
2023 / 03,Queens,9,16.3,140.2,4
2023 / 03,Queens,10,6.7,,4
2023 / 03,Queens,11,25.3,84.9,4
2023 / 03,Queens,12,19.7,,4
2023 / 03,Queens,13,21.1,,4
2023 / 03,Queens,14,7.8,,4
2023 / 02,Queens,1,,,4
2023 / 02,Queens,2,,155,4
2023 / 02,Queens,3,,,4
2023 / 02,Queens,4,,,4
2023 / 02,Queens,5,,116.4,4
2023 / 02,Queens,6,,,4
2023 / 02,Queens,7,,,4
2023 / 02,Queens,8,,,4
2023 / 02,Queens,9,,93.8,4
2023 / 02,Queens,10,,,4
2023 / 02,Queens,11,,55.8,4
2023 / 02,Queens,12,,,4
2023 / 02,Queens,13,,,4
2023 / 02,Queens,14,,,4
2023 / 01,Queens,1,,,4
2023 / 01,Queens,2,,201.6,4
2023 / 01,Queens,3,,,4
2023 / 01,Queens,4,,,4
2023 / 01,Queens,5,,139.8,4
2023 / 01,Queens,6,,,4
2023 / 01,Queens,7,,,4
2023 / 01,Queens,8,,,4
2023 / 01,Queens,9,,128.8,4
2023 / 01,Queens,10,,,4
2023 / 01,Queens,11,,72,4
2023 / 01,Queens,12,,,4
2023 / 01,Queens,13,,,4
2023 / 01,Queens,14,,,4
2022 / 12,Queens,1,104.3,,4
2022 / 12,Queens,2,38.9,184.3,4
2022 / 12,Queens,3,37.9,,4
2022 / 12,Queens,4,25.9,,4
2022 / 12,Queens,5,106.4,133,4
2022 / 12,Queens,6,103.3,,4
2022 / 12,Queens,7,146.9,,4
2022 / 12,Queens,8,143,,4
2022 / 12,Queens,9,137.7,122,4
2022 / 12,Queens,10,127.1,,4
2022 / 12,Queens,11,175.5,67.3,4
2022 / 12,Queens,12,354.9,,4
2022 / 12,Queens,13,204.6,,4
2022 / 12,Queens,14,79.7,,4
2022 / 11,Queens,1,140.8,,4
2022 / 11,Queens,2,55.5,191.7,4
2022 / 11,Queens,3,68.8,,4
2022 / 11,Queens,4,51.8,,4
2022 / 11,Queens,5,216.7,135.5,4
2022 / 11,Queens,6,165.8,,4
2022 / 11,Queens,7,381.2,,4
2022 / 11,Queens,8,216.1,,4
2022 / 11,Queens,9,276.7,126.5,4
2022 / 11,Queens,10,219.4,,4
2022 / 11,Queens,11,418.1,75.4,4
2022 / 11,Queens,12,544.3,,4
2022 / 11,Queens,13,329.9,,4
2022 / 11,Queens,14,127.1,,4
2022 / 10,Queens,1,56.7,,4
2022 / 10,Queens,2,29.6,226.5,4
2022 / 10,Queens,3,33,,4
2022 / 10,Queens,4,26.7,,4
2022 / 10,Queens,5,104.4,140,4
2022 / 10,Queens,6,64.3,,4
2022 / 10,Queens,7,181,,4
2022 / 10,Queens,8,90.2,,4
2022 / 10,Queens,9,118.3,128.1,4
2022 / 10,Queens,10,98.8,,4
2022 / 10,Queens,11,131.1,68,4
2022 / 10,Queens,12,219.9,,4
2022 / 10,Queens,13,173.2,,4
2022 / 10,Queens,14,70.6,,4
2022 / 09,Queens,1,,,4
2022 / 09,Queens,2,,133.5,4
2022 / 09,Queens,3,,,4
2022 / 09,Queens,4,,,4
2022 / 09,Queens,5,,92.9,4
2022 / 09,Queens,6,,,4
2022 / 09,Queens,7,,,4
2022 / 09,Queens,8,,,4
2022 / 09,Queens,9,,62.9,4
2022 / 09,Queens,10,,,4
2022 / 09,Queens,11,,57.2,4
2022 / 09,Queens,12,,,4
2022 / 09,Queens,13,,,4
2022 / 09,Queens,14,,,4
2022 / 08,Queens,1,,,4
2022 / 08,Queens,2,,,4
2022 / 08,Queens,3,,,4
2022 / 08,Queens,4,,,4
2022 / 08,Queens,5,,,4
2022 / 08,Queens,6,,,4
2022 / 08,Queens,7,,,4
2022 / 08,Queens,8,,,4
2022 / 08,Queens,9,,,4
2022 / 08,Queens,10,,,4
2022 / 08,Queens,11,,,4
2022 / 08,Queens,12,,,4
2022 / 08,Queens,13,,,4
2022 / 08,Queens,14,,,4
2022 / 07,Queens,1,,,4
2022 / 07,Queens,2,,,4
2022 / 07,Queens,3,,,4
2022 / 07,Queens,4,,,4
2022 / 07,Queens,5,,,4
2022 / 07,Queens,6,,,4
2022 / 07,Queens,7,,,4
2022 / 07,Queens,8,,,4
2022 / 07,Queens,9,,,4
2022 / 07,Queens,10,,,4
2022 / 07,Queens,11,,,4
2022 / 07,Queens,12,,,4
2022 / 07,Queens,13,,,4
2022 / 07,Queens,14,,,4
2022 / 06,Queens,1,,,4
2022 / 06,Queens,2,,229.6,4
2022 / 06,Queens,3,,,4
2022 / 06,Queens,4,,,4
2022 / 06,Queens,5,,134.9,4
2022 / 06,Queens,6,,,4
2022 / 06,Queens,7,,,4
2022 / 06,Queens,8,,,4
2022 / 06,Queens,9,,121.5,4
2022 / 06,Queens,10,,,4
2022 / 06,Queens,11,,74.7,4
2022 / 06,Queens,12,,,4
2022 / 06,Queens,13,,,4
2022 / 06,Queens,14,,,4
2022 / 05,Queens,1,,,4
2022 / 05,Queens,2,,213.3,4
2022 / 05,Queens,3,,,4
2022 / 05,Queens,4,,,4
2022 / 05,Queens,5,,136.1,4
2022 / 05,Queens,6,,,4
2022 / 05,Queens,7,,,4
2022 / 05,Queens,8,,,4
2022 / 05,Queens,9,,138.9,4
2022 / 05,Queens,10,,,4
