Alert ID,Event ID,Update Number,Date,Agency,Status Label,Affected,Header,Description
482392,236264,6,2/2/26,NYCT Subway,delays,E | F | M | R,"M/R trains are running with delays in both directions.
Jamaica-bound E/F trains are running with delays.","What Happened?
 
We moved a train that had its brakes activated at 46 St
.
M/R trains have resumed making scheduled stops in Queens."
482400,236264,7,2/2/26,NYCT Subway,delays,E | F | M | R,E/F/M/R trains are running with delays in both directions after we moved a train that had its brakes activated at 46 St.,M/R trains have resumed making scheduled stops in Queens.
482283,236230,1,2/2/26,NYCT Subway,reroute | delays,N | R | W,"N/R/W trains are running with delays in both directions. 

Downtown R trains are running via Roosevelt Island from Queens to Manhattan.","What's Happening?

We are addressing a signal problem in the tunnel between Queens and Manhattan.

Additional Service Changes

The last stop on some uptown N/W trains will be 96 St on the Q line. 

Listen to announcements on your train to hear how it will run. 

As an alternative for service between Queens and Manhattan, consider taking E/F/7 trains.

Expect delays on M/Q trains while they share the track with rerouted trains."
482296,236230,2,2/2/26,NYCT Subway,delays,N | R | W,N/R/W trains are running with delays in both directions after we addressed a signal problem in the tunnel between Queens and Manhattan.,N/R/W trains have resumed making scheduled stops in both directions.
482301,236230,3,2/2/26,NYCT Subway,reroute | delays,N | R | W,"N/R/W trains are running with delays in both directions.

Downtown R trains are running via Roosevelt Island from Queens to Manhattan.","What's Happening?

We are continuing to address a signal problem in the tunnel between Queens and Manhattan.

Additional Service Changes

The last stop on some uptown N/W trains will be 96 St on the Q line.

Listen to announcements on your train to hear how it will run.

As an alternative for service between Queens and Manhattan, consider taking E/F/7 trains.

Expect delays on M/Q trains while they share the track with rerouted trains."
482309,236230,4,2/2/26,NYCT Subway,delays,N | R | W,N/R/W trains are running with delays in both directions after we addressed a signal problem in the tunnel between Queens and Manhattan.,Uptown N/W and downtown R trains have resumed making scheduled stops.
482062,236107,1,2/1/26,NYCT Subway,stops-skipped | delays,N | Q | R,Downtown N/R trains are running express from 34 St-Herald Sq to Canal St while we request EMS for a person in need on a train at 28 St.,"For service to/from stops bypassed, take an uptown train.

Expect downtown Q delays while they share tracks with rerouted trains."
482064,236107,2,2/1/26,NYCT Subway,delays,N | R,Downtown N/R trains are running with delays after EMS responded to a person in need on a train at 28 St.,Downtown N/R trains have resumed local service from 34 St-Herald Sq to Canal St.
481694,235935,1,1/30/26,NYCT Subway,reroute | delays,N | Q | R | W,"Uptown R trains are running via the Q from DeKalb Av to Canal St.
Uptown W trains are delayed.","What's Happening?
We're requesting NYPD for a person being disruptive on a train at Canal St.

For service to/from stops bypassed, take a Bay Ridge-bound R train.

Expect uptown N/Q delays while they share tracks with rerouted trains."
481706,235935,2,1/30/26,NYCT Subway,reroute | delays,N | Q | R | W,"Uptown R trains are running via the Q from DeKalb Av to Canal St.
W trains are delayed in both directions.","What's Happening?
We're requesting NYPD for a person being disruptive on a train at Canal St.

For service to/from stops bypassed, take a Bay Ridge-bound R train.

Expect uptown N/Q delays while they share tracks with rerouted trains."
481710,235935,3,1/30/26,NYCT Subway,delays,R | W,R/W trains are running with delays in both directions after NYPD responded to a person being disruptive on a train at Canal St.,Uptown R trains have resumed regular service from Brooklyn to Manhattan.
481570,235886,1,1/30/26,NYCT Subway,delays,R,Uptown R trains are running with delays after we conducted track maintenance near 25 St.,Uptown R trains have resumed making scheduled stops.
481382,235789,0,1/30/26,NYCT Subway,reroute | delays,N | Q | R,"Downtown N/Q local from 34 St-Herald Sq to Canal St.
Downtown N/Q trains are rerouted via R line from Canal St to DeKalb Av.","What's Happening?
We're addressing a switch problem near Prince St.

You may experience a longer wait for a downtown R train while they share tracks with rerouted trains. 

Boarding Change:
At Canal St, board downtown N/Q trains on the upper level (R/W train platform)."
